observation_date,IRLTLT01ITM156N
2003-05-01,4.035
2003-06-01,3.822
2003-07-01,4.132
2003-08-01,4.293
2003-09-01,4.314
2003-10-01,4.382
2003-11-01,4.511
2003-12-01,4.459
2004-01-01,4.317
2004-02-01,4.343
2004-03-01,4.169
2004-04-01,4.351
2004-05-01,4.493
2004-06-01,4.544
2004-07-01,4.440
2004-08-01,4.277
2004-09-01,4.251
2004-10-01,4.129
2004-11-01,4.000
2004-12-01,3.792
2005-01-01,3.711
2005-02-01,3.678
2005-03-01,3.837
2005-04-01,3.653
2005-05-01,3.553
2005-06-01,3.405
2005-07-01,3.438
2005-08-01,3.449
2005-09-01,3.287
2005-10-01,3.444
2005-11-01,3.655
2005-12-01,3.553
2006-01-01,3.544
2006-02-01,3.697
2006-03-01,3.923
2006-04-01,4.222
2006-05-01,4.285
2006-06-01,4.295
2006-07-01,4.306
2006-08-01,4.171
2006-09-01,4.036
2006-10-01,4.070
2006-11-01,3.970
2006-12-01,4.038
2007-01-01,4.263
2007-02-01,4.280
2007-03-01,4.176
2007-04-01,4.370
2007-05-01,4.490
2007-06-01,4.772
2007-07-01,4.760
2007-08-01,4.584
2007-09-01,4.574
2007-10-01,4.591
2007-11-01,4.449
2007-12-01,4.538
2008-01-01,4.399
2008-02-01,4.354
2008-03-01,4.377
2008-04-01,4.532
2008-05-01,4.703
2008-06-01,5.106
2008-07-01,5.095
2008-08-01,4.814
2008-09-01,4.804
2008-10-01,4.780
2008-11-01,4.743
2008-12-01,4.469
2009-01-01,4.621
2009-02-01,4.536
2009-03-01,4.458
2009-04-01,4.356
2009-05-01,4.415
2009-06-01,4.606
2009-07-01,4.373
2009-08-01,4.116
2009-09-01,4.088
2009-10-01,4.101
2009-11-01,4.057
2009-12-01,4.007
2010-01-01,4.078
2010-02-01,4.047
2010-03-01,3.945
2010-04-01,3.996
2010-05-01,3.985
2010-06-01,4.102
2010-07-01,4.026
2010-08-01,3.802
2010-09-01,3.862
2010-10-01,3.800
2010-11-01,4.184
2010-12-01,4.603
2011-01-01,4.729
2011-02-01,4.736
2011-03-01,4.875
2011-04-01,4.841
2011-05-01,4.756
2011-06-01,4.816
2011-07-01,5.463
2011-08-01,5.271
2011-09-01,5.746
2011-10-01,5.972
2011-11-01,7.057
2011-12-01,6.812
2012-01-01,6.537
2012-02-01,5.546
2012-03-01,5.049
2012-04-01,5.676
2012-05-01,5.783
2012-06-01,5.904
2012-07-01,5.996
2012-08-01,5.822
2012-09-01,5.254
2012-10-01,4.953
2012-11-01,4.851
2012-12-01,4.542
2013-01-01,4.208
2013-02-01,4.493
2013-03-01,4.640
2013-04-01,4.278
2013-05-01,3.964
2013-06-01,4.379
2013-07-01,4.418
2013-08-01,4.419
2013-09-01,4.541
2013-10-01,4.248
2013-11-01,4.095
2013-12-01,4.114
2014-01-01,3.866
2014-02-01,3.651
2014-03-01,3.399
2014-04-01,3.228
2014-05-01,3.123
2014-06-01,2.920
2014-07-01,2.794
2014-08-01,2.633
2014-09-01,2.400
2014-10-01,2.424
2014-11-01,2.290
2014-12-01,1.990
2015-01-01,1.702
2015-02-01,1.557
2015-03-01,1.294
2015-04-01,1.357
2015-05-01,1.812
2015-06-01,2.199
2015-07-01,2.042
2015-08-01,1.839
2015-09-01,1.920
2015-10-01,1.696
2015-11-01,1.570
2015-12-01,1.579
2016-01-01,1.534
2016-02-01,1.558
2016-03-01,1.375
2016-04-01,1.442
2016-05-01,1.526
2016-06-01,1.453
2016-07-01,1.227
2016-08-01,1.176
2016-09-01,1.266
2016-10-01,1.450
2016-11-01,1.943
2016-12-01,1.886
2017-01-01,1.991
2017-02-01,2.352
2017-03-01,2.401
2017-04-01,2.257
2017-05-01,2.194
2017-06-01,2.053
2017-07-01,2.231
2017-08-01,2.110
2017-09-01,2.109
2017-10-01,2.074
2017-11-01,1.789
2017-12-01,1.795
2018-01-01,1.984
2018-02-01,2.081
2018-03-01,1.965
2018-04-01,1.773
2018-05-01,2.180
2018-06-01,2.744
2018-07-01,2.643
2018-08-01,3.161
2018-09-01,2.959
2018-10-01,3.469
2018-11-01,3.390
2018-12-01,2.975
2019-01-01,2.770
2019-02-01,2.812
2019-03-01,2.690
2019-04-01,2.618
2019-05-01,2.644
2019-06-01,2.284
2019-07-01,1.654
2019-08-01,1.404
2019-09-01,0.902
2019-10-01,1.004
2019-11-01,1.266
2019-12-01,1.370
2020-01-01,1.275
2020-02-01,0.955
2020-03-01,1.551
2020-04-01,1.799
2020-05-01,1.762
2020-06-01,1.455
2020-07-01,1.196
2020-08-01,1.032
2020-09-01,0.981
2020-10-01,0.770
2020-11-01,0.664
2020-12-01,0.578
2021-01-01,0.616
2021-02-01,0.590
2021-03-01,0.704
2021-04-01,0.797
2021-05-01,0.984
2021-06-01,0.875
2021-07-01,0.748
2021-08-01,0.628
2021-09-01,0.777
2021-10-01,0.955
2021-11-01,1.010
2021-12-01,1.047
2022-01-01,1.346
2022-02-01,1.794
2022-03-01,1.854
2022-04-01,2.436
2022-05-01,2.990
2022-06-01,3.635
2022-07-01,3.359
2022-08-01,3.297
2022-09-01,4.138
2022-10-01,4.532
2022-11-01,4.243
2022-12-01,4.257
2023-01-01,4.243
2023-02-01,4.270
2023-03-01,4.240
2023-04-01,4.234
2023-05-01,4.313
2023-06-01,4.074
2023-07-01,4.157
2023-08-01,4.221
2023-09-01,4.513
2023-10-01,4.885
2023-11-01,4.428
2023-12-01,3.821
2024-01-01,3.811
2024-02-01,3.872
2024-03-01,3.696
2024-04-01,3.856
2024-05-01,3.844
2024-06-01,3.942
2024-07-01,3.830
2024-08-01,3.682
2024-09-01,3.565
2024-10-01,3.501
2024-11-01,3.569
2024-12-01,3.321
2025-01-01,3.676
2025-02-01,3.575
2025-03-01,3.887
2025-04-01,3.712
2025-05-01,3.629
2025-06-01,3.501
2025-07-01,3.537
2025-08-01,3.538
2025-09-01,3.559
2025-10-01,3.442
2025-11-01,3.459
2025-12-01,3.552
2026-01-01,3.492
2026-02-01,3.388
2026-03-01,3.733
2026-04-01,3.818
2026-05-01,3.839
2026-06-01,3.734
